timestamp,container,cpu_percent,mem_bytes
2026-09-16T14:56:27.131427+00:00,k3d-shared-e2e-test-cluster-server-0,433.69,3206193086
2026-09-16T14:56:33.382119+00:00,k3d-shared-e2e-test-cluster-server-0,129.17,3238405341
2026-09-16T14:56:39.615796+00:00,k3d-shared-e2e-test-cluster-server-0,439.73,3267396370
2026-09-16T14:56:45.859238+00:00,k3d-shared-e2e-test-cluster-server-0,749.46,3320009719
2026-09-16T14:56:52.106644+00:00,k3d-shared-e2e-test-cluster-server-0,365.45,3370475585
2026-09-16T14:56:58.352521+00:00,k3d-shared-e2e-test-cluster-server-0,140.30,3383360487
2026-09-16T14:57:04.591116+00:00,k3d-shared-e2e-test-cluster-server-0,82.12,3479997251
2026-09-16T14:57:10.826586+00:00,k3d-shared-e2e-test-cluster-server-0,76.80,3483218477
2026-09-16T14:57:17.065325+00:00,k3d-shared-e2e-test-cluster-server-0,66.95,3499324604
2026-09-16T14:57:23.328234+00:00,k3d-shared-e2e-test-cluster-server-0,198.97,3507914539
2026-09-16T14:57:29.568512+00:00,k3d-shared-e2e-test-cluster-server-0,73.80,3507914539
2026-09-16T14:57:35.805549+00:00,k3d-shared-e2e-test-cluster-server-0,61.55,3525094408
2026-09-16T14:57:42.047253+00:00,k3d-shared-e2e-test-cluster-server-0,62.54,3540126793
2026-09-16T14:57:48.286682+00:00,k3d-shared-e2e-test-cluster-server-0,66.01,3550864211
2026-09-16T14:57:54.529382+00:00,k3d-shared-e2e-test-cluster-server-0,78.00,3561601630
2026-09-16T14:58:00.766858+00:00,k3d-shared-e2e-test-cluster-server-0,184.98,3526168150
2026-09-16T14:58:07.010271+00:00,k3d-shared-e2e-test-cluster-server-0,177.13,3536905568
2026-09-16T14:58:13.247531+00:00,k3d-shared-e2e-test-cluster-server-0,67.66,3533684342
2026-09-16T14:58:19.488847+00:00,k3d-shared-e2e-test-cluster-server-0,164.35,3521873182
2026-09-16T14:58:25.725685+00:00,k3d-shared-e2e-test-cluster-server-0,179.27,3530463117
2026-09-16T14:58:31.964733+00:00,k3d-shared-e2e-test-cluster-server-0,181.81,3512209506
2026-09-16T14:58:38.208977+00:00,k3d-shared-e2e-test-cluster-server-0,55.68,3502545829
